name,nationality,gender,birthdate
James Wallace Black,American,Male,1825
Wendell Black,American,Male,1919
Elizabeth Blackadder,British,Female,1931
Morris Blackburn,American,Male,1902
Tom Blackwell,American,Male,1938
Ronald Bladen,American,Male,1918
Nell Blaine,American,Female,1922
Jean-Charles Blais,French,Male,1956
Jeffrey Blake,American,Male,1954
Peter Blake,British,Male,1932
Werner Blaser,Swiss,Male,1924
Edwin Howland Blashfield,American,Male,1848
Arbit Blatas,American,Male,1908
Ross Bleckner,American,Male,1949
René Bleibtreu,French,Male,1920
André Bloc,Nationality unknown,Male,1896
Albert Bloch,American,Male,1882
Julius Bloch,American,Male,1888
Pierrette Bloch,French,Female,1928
Gay Block,American,Female,1942
Barbara Bloom,American,Female,1951
Hyman Bloom,American,Male,1913
Vern Blosum,American,Male,1936
Sandra Blow,British,Female,1925
Oscar Bluemner,American,Male,1867
Norman Bluhm,American,Male,1920
Donald Blumberg,American,Male,1935
Anna Blume,German,Female,1937
Bernhard Blume,German,Male,1937
Peter Blume,American,Male,1906
Erwin Blumenfeld,German,Male,1897
Instituto Lina Bo e Pietro Maria Bardi,Brazilian,Female,1914
Marcello Boccacci,Italian,Male,1914
Umberto Boccioni,Italian,Male,1882
Mel Bochner,American,Male,1940
Bengt Böckman,Swedish,Male,1936
Alighiero Boetti,Italian,Male,1940
Marinus Boezem,Dutch,Male,1934
Ricardo Bofill,Spanish,Male,1939
Arthur Emil Bofinger,Swiss,Male,1909
Varujan Boghosian,American,Male,1926
Theodor Bogler,German,Male,1897
Alexander Bogomazov,Russian,Male,1880
Blythe Bohnen,American,Female,1940
Olaf von Bohr,Austrian,Male,1927
Karl Bohrmann,German,Male,1928
Bruce Boice,American,Male,1941
Jakob (Jack) Friedrich Bollschweiler,German,Male,1888
Roger Bolomey,American,Male,1918
Jay Bolotin,American,Male,1949
Ilya Bolotowsky,American,Male,1907
Christian Boltanski,French,Male,1944
Michael Bolus,British,Male,1934
David Bomberg,British,Male,1890
Camille Bombois,French,Male,1883
Bona,Italian,Female,1926
Claus Bonderup,Danish,Male,1943
Muirhead Bone,British,Male,1876
Antonio Bonet,Spanish,Male,1913
Rodolfo Bonetto,Italian,Male,1929
Marcelo Bonevardi,Argentine,Male,1929
Felix Bonfils,French,Male,1831
Dusti Bongé,American,Female,1903
Paolo Boni,Italian,Male,1926
Pierre Bonnard,French,Male,1867
Maria Bonomi,Brazilian,Female,1935
Lee Bontecou,American,Female,1931
Fabio Bonzi,Italian,Male,1943
Peter Booth,Australian,Male,1940
Osvaldo Borda,Argentine,Male,1929
Enrico Bordoni,Italian,Male,1904
Paul-Émile Borduas,Canadian,Male,1905
Francisco Borès,Spanish,Male,1898
Jonathan Borofsky,American,Male,1942
Elena Borstein,American,Female,1946
Sándor (Alexander) Bortnyik,Hungarian,Male,1893
Fritz Boscovits,Swiss,Male,1871
Derek Boshier,British,Male,1937
Richard Bosman,Australian,Male,1944
Rodolphe-Théophile Bosshard,Swiss,Male,1889
Check  Boterf,American,Male,1934
Fernando Botero,Colombian,Male,1932
Dorr Bothwell,American,Female,1902
Mario Botta,Swiss,Male,1943
Kenneth J. Botto,American,Male,1937
Édouard Boubat,French,Male,1923
René Robert Bouché,American,Male,1905
Alice Boughton,American,Female,1865
Firmin Bouisset,French,Male,1859
Christine Boumeester,Dutch,Female,1904
Louis Bouquet,French,Male,1885
Harry Bouras,American,Male,1931
Émile-Antoine Bourdelle,French,Male,1861
Louise Bourgeois,American,Female,1911
Fergus Bourke,Irish,Male,1934
Margaret Bourke-White,American,Female,1904
Samuel Bourne,British,Male,1834
Jean-Louis Boussingault,French,Male,1883
Henri Boutet,French,Male,1851
Lynn Bowers,American,Male,1932
Frank Bowling,Guyanese,Male,1936
Stanley Boxer,American,Male,1926
Fiske Boyd,American,Male,1895
Fionnuala Boyd,British,Female,1944
James Henderson Boyd,Canadian,Male,1928
Mark Boyle,British,Male,1934
James Boynton,American,Male,1928
Paul Brach,American,Male,1924
Angel Bracho,Mexican,Male,1911
M. Leone Bracker,American,Male,1885
Su Braden,British,Female,1940
Paul Bradley,American,Male,1960
William Bradley,American,Male,1868
Dove Bradshaw,American,Male,1949
