lat,lon,alt,date,device,os,version
40.7453651428,-73.9438934326,22.3995723724,2013-10-01 16:19:12,"iPhone5,2",7.0.2,1.1
40.7479629517,-73.9932098389,22.3995723724,2013-10-01 16:40:32,"iPhone5,2",7.0.2,1.1
40.7488517761,-74.0030059814,16.3644828796,2013-10-01 16:46:56,"iPhone5,2",7.0.2,1.1
40.7441291809,-74.0015029907,15.4771413803,2013-10-01 18:03:44,"iPhone5,2",7.0.2,1.1
40.7388954163,-74.0025939941,17.0402317047,2013-10-01 18:12:16,"iPhone5,2",7.0.2,1.1
40.7341461182,-73.9909210205,20,2013-10-01 23:45:04,"iPhone5,2",7.0.2,1.1
40.7299308777,-73.9930038452,24.3188171387,2013-10-01 23:51:28,"iPhone5,2",7.0.2,1.1
40.7334671021,-73.9871292114,23.7129230499,2013-10-02 02:40:00,"iPhone5,2",7.0.2,1.1
40.7323646545,-73.9546051025,16.4147205353,2013-10-02 03:01:20,"iPhone5,2",7.0.2,1.1
40.7352485657,-73.9718017578,4.78192138672,2013-10-02 04:22:24,"iPhone5,2",7.0.2,1.1
40.7338867188,-73.9588088989,8.03621959686,2013-10-02 04:43:44,"iPhone5,2",7.0.2,1.1
40.7351837158,-73.9712905884,10.7897863388,2013-10-02 14:43:12,"iPhone5,2",7.0.2,1.1
40.7340660095,-73.9585571289,11.5939350128,2013-10-02 15:32:16,"iPhone5,2",7.0.2,1.1
40.7018814087,-73.9867477417,14.2964944839,2013-10-02 16:51:12,"iPhone5,2",7.0.2,1.1
40.7373352051,-73.9968719482,22.1930084229,2013-10-02 18:44:16,"iPhone5,2",7.0.2,1.1
40.733745575,-73.9930267334,23.2787246704,2013-10-02 19:26:56,"iPhone5,2",7.0.2,1.1
40.7311515808,-73.9881591797,12.3552751541,2013-10-02 21:43:28,"iPhone5,2",7.0.2,1.1
40.7211074829,-73.9868621826,10.8705749512,2013-10-02 23:21:36,"iPhone5,2",7.0.2,1.1
40.7156181335,-73.9729003906,22.2634887695,2013-10-03 01:01:52,"iPhone5,2",7.0.2,1.1
40.7119674683,-73.9629974365,17.4256458282,2013-10-03 01:08:16,"iPhone5,2",7.0.2,1.1
40.7272758484,-73.958480835,15.2291259766,2013-10-03 01:33:52,"iPhone5,2",7.0.2,1.1
40.7336616516,-73.9549865723,17.2691230774,2013-10-03 01:40:16,"iPhone5,2",7.0.2,1.1
40.73595047,-73.971496582,4.29565429688,2013-10-03 10:22:56,"iPhone5,2",7.0.2,1.1
40.7324943542,-73.9569168091,4.29565429688,2013-10-03 11:05:36,"iPhone5,2",7.0.2,1.1
40.7466201782,-73.942741394,16.3603935242,2013-10-03 13:09:20,"iPhone5,2",7.0.2,1.1
