UNIVERSITY OF MEMPHIS,428744,NSF
UNIVERSITY OF SOUTH CAROLINA,30000,NSF
THE UNIVERSITY OF SOUTH DAKOTA,297862,NSF
UNIVERSITY OF ILLINOIS,134990,NSF
CARNEGIE MELLON UNIVERSITY,798572,NSF
NEW MEXICO STATE UNIVERSITY,224074,NSF
NEW YORK UNIVERSITY,299999,NSF
UNIVERSITY OF MASSACHUSETTS,460000,NSF
OPEN SOURCE PROJECT FOR A NETWORK DATA ACCESS PROTOCOL  THE,802000,NSF
WASHINGTON STATE UNIVERSITY,400000,NSF
BAYLOR UNIVERSITY,400000,NSF
MASSCHALLENGE INC,50000,NSF
RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY,316562,NSF
NORTHAMPTON COMMUNITY COLLEGE,212489,NSF
UNIVERSITY OF MARYLAND CENTER FOR ENVIRONMENTAL SCIENCE,696522,NSF
MARINE BIOLOGICAL LABORATORY  THE,493458,NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,150000,NSF
WOODS HOLE RESEARCH CENTER  INC.  THE,888731,NSF
AUBURN UNIVERSITY,13939,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,150000,NSF
WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,149347,NSF
UNIVERSITY OF CALIFORNIA  IRVINE,299996,NSF
THERMOAURA INC.,750000,NSF
BEREA COLLEGE,296388,NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK  THE,174124,NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,63139,NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,24938,NSF
TEXAS A & M UNIVERSITY,76812.71,NSF
UNIVERSITY OF CALIFORNIA  LOS ANGELES,249529,NSF
PALO ALTO RESEARCH CENTER INCORPORATED,1199070,NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,560183,NSF
DEURION  LLC,452271,NSF
UNIVERSITY OF CHICAGO  THE,17829,NSF
UNIVERSITY OF MASSACHUSETTS,98542,NSF
UNIVERSITY OF WYOMING,1199963,NSF
UNIVERSITY OF ALABAMA,250000,NSF
UNIVERSITY OF MASSACHUSETTS,100000,NSF
OHIO UNIVERSITY,25000,NASA
WESTERN MICHIGAN UNIVERSITY,99999,NASA
PURDUE UNIVERSITY,100000,NASA
TRUSTEES OF DARTMOUTH COLLEGE,26356,NASA
NORTH CAROLINA STATE UNIVERSITY,92725,NSF
GEORGIA TECH RESEARCH CORPORATION,40000,NSF
PENNSYLVANIA STATE UNIVERSITY  THE,239817,NSF
WORCESTER POLYTECHNIC INSTITUTE,1499346,NSF
KING'S COLLEGE,87775,NSF
UNIVERSITY OF NOTRE DAME DU LAC,195262,NSF
UNIVERSITY OF KENTUCKY,749999,NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,398183,NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK  THE,120493,NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,50000,NSF
UNIVERSITY OF KANSAS CENTER FOR RESEARCH  INC.,425000,NSF
CHAPMAN UNIVERSITY,39553,NSF
MICHIGAN STATE UNIVERSITY,969929,NSF
NORTHWESTERN UNIVERSITY,157000,NSF
ARIZONA STATE UNIVERSITY,289980,NSF
NORTHWESTERN UNIVERSITY,437299,NSF
GEORGIA TECH RESEARCH CORPORATION,59999,NSF
HEALTH FIDELITY  INC,405687,NSF
EDUCATION DEVELOPMENT CENTER  INC.,999979,NSF
WILLIAM MARSH RICE UNIVERSITY,209105,NSF
UNIVERSITY OF WASHINGTON,1374727,NSF
